,id,cloud_cover,source,aoi_code,percentage_valid_pixels,geometry
64,2021-08-06,54.69,landsat,AOI0372,1.0,"POLYGON ((148.29960316085715 -32.44460560526437, 148.50960316085715 -32.44460560526437, 148.50960316085715 -32.23460560526437, 148.29960316085715 -32.23460560526437, 148.29960316085715 -32.44460560526437))"
65,2021-08-22,10.8,landsat,AOI0372,1.0,"POLYGON ((148.29960316085715 -32.44460560526437, 148.50960316085715 -32.44460560526437, 148.50960316085715 -32.23460560526437, 148.29960316085715 -32.23460560526437, 148.29960316085715 -32.44460560526437))"
66,2021-08-13,2.36,landsat,AOI0372,0.4489618492838821,"POLYGON ((148.29960316085715 -32.44460560526437, 148.50960316085715 -32.44460560526437, 148.50960316085715 -32.23460560526437, 148.29960316085715 -32.23460560526437, 148.29960316085715 -32.44460560526437))"
67,2021-08-29,56.97,landsat,AOI0372,0.45830793921510465,"POLYGON ((148.29960316085715 -32.44460560526437, 148.50960316085715 -32.44460560526437, 148.50960316085715 -32.23460560526437, 148.29960316085715 -32.23460560526437, 148.29960316085715 -32.44460560526437))"
68,2021-08-06,54.69,landsat,AOI0395,1.0,"POLYGON ((148.29960316085715 -32.24460560526437, 148.50960316085715 -32.24460560526437, 148.50960316085715 -32.03460560526437, 148.29960316085715 -32.03460560526437, 148.29960316085715 -32.24460560526437))"
69,2021-08-22,10.8,landsat,AOI0395,1.0,"POLYGON ((148.29960316085715 -32.24460560526437, 148.50960316085715 -32.24460560526437, 148.50960316085715 -32.03460560526437, 148.29960316085715 -32.03460560526437, 148.29960316085715 -32.24460560526437))"
70,2021-08-13,2.36,landsat,AOI0395,0.6964310038283247,"POLYGON ((148.29960316085715 -32.24460560526437, 148.50960316085715 -32.24460560526437, 148.50960316085715 -32.03460560526437, 148.29960316085715 -32.03460560526437, 148.29960316085715 -32.24460560526437))"
71,2021-08-29,56.97,landsat,AOI0395,0.7057773809839122,"POLYGON ((148.29960316085715 -32.24460560526437, 148.50960316085715 -32.24460560526437, 148.50960316085715 -32.03460560526437, 148.29960316085715 -32.03460560526437, 148.29960316085715 -32.24460560526437))"
72,2021-08-06,54.69,landsat,AOI0396,1.0,"POLYGON ((148.29960316085715 -32.044605605264366, 148.50960316085715 -32.044605605264366, 148.50960316085715 -31.834605605264365, 148.29960316085715 -31.834605605264365, 148.29960316085715 -32.044605605264366))"
73,2021-08-22,10.8,landsat,AOI0396,1.0,"POLYGON ((148.29960316085715 -32.044605605264366, 148.50960316085715 -32.044605605264366, 148.50960316085715 -31.834605605264365, 148.29960316085715 -31.834605605264365, 148.29960316085715 -32.044605605264366))"
